original,prediction,comment,"datapoint_type (0=return, 1=param)",filename,line_number,name,params,return_param_comment,uncertainty,"Classification (I=inconsistency, N=non-standard type name, M=misclassification)",Comment
string,boolean,determine release trigger click one time,1,/home/rabee/thesis/data/js_files/testing_files/anyjs_any.js_beautified.js46ac1931284fd3ae94b38e5c5d504ab4.js,3494,opt.once,,,8.87E-09,I,Wrong annotation
other,string,string show title notification,1,/home/rabee/thesis/data/js_files/testing_files/external_storage_monitor.js_beautified.jse1952ed4db63ed32a0287da8e11f0236.js,422,str,,,9.39E-09,I,Wrong annotation. Mixed up name and type of parameter.
other,progress,set font family,0,/home/rabee/thesis/data/js_files/testing_files/loading.js_beautified.js671538d5a54b21a7790bd40c4dd341f4.js,50,font,family,chain,9.43E-09,M,"Annotated type is in ""other""; we cannot predict this correctly."
other,object,parse tag,0,/home/rabee/thesis/data/js_files/testing_files/swig_swig.js_beautified.jsfb3260a6c353556df4ff96e789df834c.js,1895,parseTag,str line,parse token object,1.03E-08,M,"Annotated type is in ""other""; we cannot predict this correctly."
boolean|number,boolean,,1,/home/rabee/thesis/data/js_files/testing_files/underscore-externs.js_beautified.jsf30b9bf845b921bbc41208805157609a.js,662,opt_isSorted,,,1.19E-08,M,"Overloaded function, without any comments; really hard to predict. But the annotation is correct according to https://underscorejs.org/#indexOf"
string|buffer,string,string encode,1,/home/rabee/thesis/data/js_files/testing_files/charset.js_beautified.js483c52abd5405174100f872ee961c8d0.js,46,str,,,1.22E-08,I,Incomplete comment. Should mention that buffer is also expected.
void,boolean,get whether rigid body connection others,0,/home/rabee/thesis/data/js_files/testing_files/oimo_oimo.js_beautified.js78c1a5597649ff50c12f122f3eb07beb.js,6243,isLonely,,,1.36E-08,I,Wrong annotation
string|number,string,name link mapper target,1,/home/rabee/thesis/data/js_files/testing_files/js-data_js-data.es2015.js_beautified.jsad917425aa6bace4a4ea4e07402f5743.js,11453,name,,,1.53E-08,I,Incomplete comment. Should mention that it can be a number.
html,string,getter button label html attr,0,/home/rabee/thesis/data/js_files/testing_files/button-core.js_beautified.jsb6dcc649b92d53dbcae4a853822f1201.js,145,_getLabelHTML,,html label button,1.68E-08,M,Maybe interesting example for false positive.
*|string,boolean,check user log,0,/home/rabee/thesis/data/js_files/testing_files/core.js_beautified.js9291fbe3ef05df07897933a638acc276.js,55,isLoggedIn,,,1.84E-08,I,Wrong annotation
other,number,,1,/home/rabee/thesis/data/js_files/testing_files/uiRectController.js_beautified.js13670b405a543389edabf62a909fd407.js,142,width,,,1.89E-08,I,"Wrong annotation. Developer mixed up type and name, it seems."
other,number,x coordinate tested point,1,/home/rabee/thesis/data/js_files/testing_files/primitives.js_beautified.js203c535c17cdf582ccbc2dce6e020193.js,174,y,,,1.94E-08,N,Numeric instead of number
object,boolean,,0,/home/rabee/thesis/data/js_files/testing_files/AccessibilityUtils.js_beautified.js4250f62e4786ce9bfc8466ec611a1315.js,1254,isValidBoolean,value,,2.04E-08,I,Confusing function name. Sounds like a boolean.
other,boolean,handle change event,0,/home/rabee/thesis/data/js_files/testing_files/InputBase-dbg.js_beautified.jsf8b3b45464e942c78eb99ba7c6403a4d.js,444,onChange,o event,true change event fire,2.31E-08,N,true is not a type (should be boolean)
point3d,number,calculate average two point,0,/home/rabee/thesis/data/js_files/testing_files/vis_vis.js_beautified.js5d352767f742c3054dc35dcf9e9a6177.js,5081,avg,a b,average b,2.47E-08,M,Interesting example for false positive
pixi.graphics,graphics,specifies line style use subsequent call graphic method line method draw circle method,0,/home/rabee/thesis/data/js_files/testing_files/pixi.js_pixi.js_beautified.js4b6eca603a23744d8019e55d02ca69b4.js,11776,lineStyle,line width color alpha alignment,graphic object. good chain method call,2.63E-08,N,"Similar to above. Tricky case, but my understanding of http://usejsdoc.org/about-namepaths.html is that the prediction is correct."
string|number,string,name link mapper target,1,/home/rabee/thesis/data/js_files/testing_files/js-data_js-data.js_beautified.js2ec31b44ad0a921929db00c7c64d10ea.js,11637,name,,,2.74E-08,I,Incomplete comment. Should mention that it can be a number.
object,number,,1,/home/rabee/thesis/data/js_files/testing_files/highcharts.js_beautified.jsb41ad70e8a38a7c3dda8027cc421e632.js,2514,width,,,2.84E-08,I,"Wrong annotation (not 100% sure, because fct body doesn't use the parameters much)."
integer,number,distance number nodes. default,1,/home/rabee/thesis/data/js_files/testing_files/multiselect.js_beautified.js6a5cb218acff3f5a4234a9882a406e66.js,310,count,,,2.95E-08,N,Integer instead of number
other,phaser.physics.arcade.body,body object separate,1,/home/rabee/thesis/data/js_files/testing_files/World.js_beautified.jsc3ff88940cd5ecbaddf82c66c223c981.js,857,body1,,,0.000000031,M,"appears to be correct, but hard to tell for sure"
other,number,end angle arc radian,1,/home/rabee/thesis/data/js_files/testing_files/path.js_beautified.jse4be30f67397961acddb1fa9caabce3d.js,751,aEndAngle,,,3.21E-08,N,deg|rad instead of number
int,number,distance finger user start pinch,1,/home/rabee/thesis/data/js_files/testing_files/jquery.touchswipe_jquery.touchSwipe.js_beautified.jse7ff74f1fe5d9e5ec58fb69080a06b19.js,1777,startDistance,,,3.21E-08,N,int instead of number
html,string,log message,1,/home/rabee/thesis/data/js_files/testing_files/logger.js_beautified.jsd04e7d5cfbf38666becb478f6ab3e5e3.js,282,sMsg,,,3.22E-08,I,"The parameter is given to https://yui.github.io/yui2/docs/yui_2.3.0/docs/YAHOO.widget.LogMsg.html, which expects a string. So it must be a string."
string|number,string,name link mapper target,1,/home/rabee/thesis/data/js_files/testing_files/js-data_js-data.es2015.js_beautified.jsad917425aa6bace4a4ea4e07402f5743.js,11569,name,,,3.46E-08,I,Incomplete comment. Should mention that it can be a number.
string|array,string,class name test,1,/home/rabee/thesis/data/js_files/testing_files/lib.js_beautified.js4a7195fc535cf307425443c01bfbe5b4.js,123,className,,,3.75E-08,M,Nice example for false positive. Hint that multiple names are allowed is swallowed by preprocessing of words.
float,number,scale factor,1,/home/rabee/thesis/data/js_files/testing_files/geometry.js_beautified.js57b901a722acd15cbbb63765e1e10425.js,569,sy,,,3.77E-08,N,float instead of number
object,number,,1,/home/rabee/thesis/data/js_files/testing_files/highcharts.src.js_beautified.js4f7554202fac3ab5a240ee6c7ce3e8a7.js,3367,y,,,3.82E-08,I,Wrong annotation. Use as example in paper?
other,boolean,check variable declaration,0,/home/rabee/thesis/data/js_files/testing_files/Parser.js_beautified.jsdbf7832d600f0b38259e3fef326c501e.js,1678,checkInitializer_,type declaration,whether initializer correct,3.88E-08,N,boolan instead of boolean
void,boolean,whether cursor visible,1,/home/rabee/thesis/data/js_files/testing_files/Selection.js_beautified.js21fa458d9c7a4ac8343fbd5606038b55.js,287,visible,,,0.000000039,I,Wrong annotation
other,boolean,return true add give sub type name exists,0,/home/rabee/thesis/data/js_files/testing_files/BaseComponent.js_beautified.jse6a131828ed38b42f143b33139eac9a8.js,217,hasAddIn,slot add in,true add exists false otherwise,3.97E-08,I,Wrong annotation
bool,boolean,true forward movement otherwise go backwards,1,/home/rabee/thesis/data/js_files/testing_files/Sly_sly.js_beautified.js7ba9053cc73988c7947193faf7174e28.js,574,forward,,,4.01E-08,,
other,phaser.physics.arcade.body,body object separate,1,/home/rabee/thesis/data/js_files/testing_files/World.js_beautified.jsc3ff88940cd5ecbaddf82c66c223c981.js,762,body1,,,4.08E-08,,
array,number,x give x value every target updated. argument give current x value return object whose key target id,1,/home/rabee/thesis/data/js_files/testing_files/billboard.js_billboard.js_beautified.js9365e5ca1211725ae423cfa2b3d6b448.js,12585,x,,,4.08E-08,,
integer,number,distance number nodes. default,1,/home/rabee/thesis/data/js_files/testing_files/multiselect.js_beautified.js6a5cb218acff3f5a4234a9882a406e66.js,341,count,,,4.13E-08,,
object,string,name attribute,1,/home/rabee/thesis/data/js_files/testing_files/attribute-core-debug.js_beautified.jsad5c59d9d310a3d5d93f0a3bcb49c7cc.js,471,name,,,4.19E-08,,
object,boolean,,0,/home/rabee/thesis/data/js_files/testing_files/AccessibilityUtils.js_beautified.js4250f62e4786ce9bfc8466ec611a1315.js,1299,isValidNumber,value,,4.32E-08,,
other,string,string figure storage action,1,/home/rabee/thesis/data/js_files/testing_files/external_storage_monitor.js_beautified.jse1952ed4db63ed32a0287da8e11f0236.js,378,str,,,4.37E-08,,
point,number,compute sum two point,0,/home/rabee/thesis/data/js_files/testing_files/primitives.js_beautified.js203c535c17cdf582ccbc2dce6e020193.js,3296,sum,p p,sum initial point,4.38E-08,,
kick.math.mat3,other,matrix clone,1,/home/rabee/thesis/data/js_files/testing_files/Mat3.js_beautified.js2c450f98cdb3308e1114e5a9ad2b8c30.js,46,a,,,4.41E-08,,
other,string,name option,1,/home/rabee/thesis/data/js_files/testing_files/options.js_beautified.js8947e0a97f38f8fb294d88ae1e4e7c1d.js,339,text,,,0.000000046,,
string|number,string,name link mapper target,1,/home/rabee/thesis/data/js_files/testing_files/js-data_js-data.es2015.js_beautified.jsad917425aa6bace4a4ea4e07402f5743.js,11650,name,,,4.61E-08,,
integer,number,number previous selected. default,1,/home/rabee/thesis/data/js_files/testing_files/collection.js_beautified.js421c350366b8f6792d2d6f252cf8710a.js,1639,numberOfItems,,,4.65E-08,,
boolean,string,use id attribute name,1,/home/rabee/thesis/data/js_files/testing_files/anyjs_any.js_beautified.js46ac1931284fd3ae94b38e5c5d504ab4.js,4495,opt.naming.id,,,4.69E-08,,
mixed,boolean,,1,/home/rabee/thesis/data/js_files/testing_files/jx.base.js_beautified.js57e5c1a6cb3f62bcb00533f30e4c451f.js,315,beExtendObj,,,4.71E-08,,
boolean|function,boolean,,1,/home/rabee/thesis/data/js_files/testing_files/underscore-externs.js_beautified.jsf30b9bf845b921bbc41208805157609a.js,606,opt_isSorted,,,4.74E-08,,
other,phaser.physics.arcade.body,body object separate,1,/home/rabee/thesis/data/js_files/testing_files/World.js_beautified.jsc3ff88940cd5ecbaddf82c66c223c981.js,857,body2,,,0.000000048,,
int,number,index memorize,1,/home/rabee/thesis/data/js_files/testing_files/reveal.js_beautified.jsdce094255edbdb7797dbf2c497f56a81.js,609,v,,,5.07E-08,,
string|undefined,string,name,1,/home/rabee/thesis/data/js_files/testing_files/websql.js_beautified.js81b6b70fb4f9ba7a7f0307e74a2f6f53.js,962,column_name,,,5.38E-08,,
object,number,,1,/home/rabee/thesis/data/js_files/testing_files/highcharts.src.js_beautified.jsb99356d4e96379febc22cd7f04ead648.js,3405,height,,,5.65E-08,,
kick.math.mat3,other,source matrix,1,/home/rabee/thesis/data/js_files/testing_files/Mat3.js_beautified.js2c450f98cdb3308e1114e5a9ad2b8c30.js,67,a,,,5.66E-08,,
integer,number,get height,0,/home/rabee/thesis/data/js_files/testing_files/kinetic.js_beautified.js515a81a7c5f30ec3318383c682da82b8.js,3318,getHeight,,,5.66E-08,,
kick.math.mat3,other,source matrix,1,/home/rabee/thesis/data/js_files/testing_files/Mat3.js_beautified.js2c450f98cdb3308e1114e5a9ad2b8c30.js,108,a,,,5.69E-08,,
kick.math.mat3,other,receiving matrix,1,/home/rabee/thesis/data/js_files/testing_files/Mat3.js_beautified.js2c450f98cdb3308e1114e5a9ad2b8c30.js,313,out,,,5.74E-08,,
other,number,,1,/home/rabee/thesis/data/js_files/testing_files/marker.js_beautified.js57671d19188bb63dacbde8528f7eb9a6.js,52,width,,,5.86E-08,,
